Timestamp,Server,Latency (ms),Status,Packet_Loss_%
2025-10-15 17:01:22.743,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:23.748,8.8.8.8,34.00,Success,0.09
2025-10-15 17:01:24.775,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:25.805,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:26.763,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:27.765,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:28.764,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:29.775,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:30.830,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:31.850,8.8.8.8,46.00,Success,0.09
2025-10-15 17:01:32.792,8.8.8.8,36.00,Success,0.09
2025-10-15 17:01:33.783,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:34.782,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:35.784,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:36.799,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:37.789,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:38.943,8.8.8.8,38.00,Success,0.09
2025-10-15 17:01:39.787,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:40.779,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:41.778,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:42.836,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:43.794,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:44.799,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:45.793,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:46.792,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:47.794,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:48.799,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:49.841,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:50.806,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:51.798,8.8.8.8,34.00,Success,0.09
2025-10-15 17:01:52.797,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:53.806,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:54.798,8.8.8.8,33.00,Success,0.09
2025-10-15 17:01:55.836,8.8.8.8,32.00,Success,0.09
2025-10-15 17:01:56.820,8.8.8.8,32.00,Success,0.09
