Data,Hora_Inicio,Hora_Fim,Duracao_Segundos,Latencia_Media_Pico,Latencia_Min_Pico,Latencia_Max_Pico,Pings_Afetados,Numero_Ping_Inicio,Metodo_Deteccao,Baseline_Media,Baseline_Min,Baseline_Max,Aumento_Percentual
2025-10-16,15:56:45,15:56:56,10.50,24.67,13.00,61.00,12,32850,"desvio estatístico (média=14.3ms, limite=22.4ms)",14.76,13.00,42.00,67.1%
2025-10-16,16:06:54,16:07:07,13.00,25.41,13.00,112.00,17,34059,"desvio estatístico (média=14.6ms, limite=23.5ms)",15.16,13.00,39.00,67.6%
2025-10-16,16:18:41,16:18:49,7.50,75.83,32.00,261.00,6,35464,"desvio estatístico (média=14.5ms, limite=27.7ms)",14.60,13.00,36.00,419.4%
2025-10-16,16:20:25,16:20:32,6.99,27.40,13.00,47.00,5,35671,"desvio estatístico (média=15.5ms, limite=34.3ms)",17.54,13.00,69.00,56.2%
2025-10-16,16:21:53,16:22:05,12.50,33.06,13.00,75.00,16,35845,"desvio estatístico (média=15.2ms, limite=31.0ms)",15.92,11.00,75.00,107.7%
2025-10-16,16:25:24,16:26:32,67.42,24.61,12.00,1095.00,124,36267,"desvio estatístico (média=14.0ms, limite=17.9ms)",14.58,12.00,22.00,68.8%
2025-10-16,16:34:38,16:34:48,9.95,24.73,13.00,111.00,11,37369,threshold fixo (100ms),16.40,13.00,111.00,50.8%
2025-10-16,16:54:42,16:54:50,7.97,39.29,17.00,67.00,7,39757,"desvio estatístico (média=14.9ms, limite=27.0ms)",15.50,13.00,67.00,153.5%
2025-10-16,16:58:48,16:58:56,7.53,26.50,13.00,45.00,6,40249,"desvio estatístico (média=15.1ms, limite=34.8ms)",16.10,13.00,52.00,64.6%
2025-10-16,17:01:13,17:01:45,32.30,36.70,13.00,1141.00,54,40537,"desvio estatístico (média=13.6ms, limite=17.8ms)",13.84,13.00,26.00,165.2%
2025-10-16,17:02:30,17:02:42,12.02,78.27,16.00,310.00,15,40689,"desvio estatístico (média=14.2ms, limite=24.1ms)",14.36,12.00,41.00,445.0%
2025-10-16,17:04:08,17:04:18,10.07,37.09,14.00,61.00,11,40875,"desvio estatístico (média=16.0ms, limite=30.7ms)",17.46,13.00,50.00,112.4%
2025-10-16,17:04:21,17:04:59,38.19,34.76,13.00,172.00,66,40899,threshold fixo (100ms),18.96,13.00,113.00,83.3%
2025-10-16,17:08:44,17:09:05,20.92,28.77,13.00,85.00,30,41387,"desvio estatístico (média=14.5ms, limite=22.8ms)",14.82,12.00,44.00,94.1%
2025-10-16,17:29:09,17:29:17,7.54,33.17,13.00,63.00,6,43769,"desvio estatístico (média=14.6ms, limite=23.6ms)",15.56,13.00,58.00,113.2%
2025-10-16,17:31:17,17:31:37,20.06,35.71,13.00,239.00,31,44023,"desvio estatístico (média=13.5ms, limite=16.0ms)",13.74,13.00,19.00,159.9%
2025-10-16,17:37:13,17:37:23,10.31,21.73,13.00,46.00,11,44727,"desvio estatístico (média=14.1ms, limite=23.6ms)",14.44,13.00,46.00,50.5%
2025-10-16,17:39:13,17:39:25,11.55,26.79,13.00,77.00,14,44964,"desvio estatístico (média=13.7ms, limite=19.1ms)",13.98,13.00,33.00,91.6%
2025-10-16,17:40:09,17:40:26,17.10,32.77,13.00,268.00,22,45075,"desvio estatístico (média=14.3ms, limite=23.1ms)",14.90,12.00,31.00,120.0%
2025-10-16,17:50:22,17:50:31,9.00,23.00,13.00,47.00,9,46280,"desvio estatístico (média=14.3ms, limite=21.3ms)",14.28,13.00,47.00,61.1%
