Data,Hora_Inicio,Hora_Fim,Duracao_Segundos,Latencia_Media_Pico,Latencia_Min_Pico,Latencia_Max_Pico,Pings_Afetados,Numero_Ping_Inicio,Metodo_Deteccao,Baseline_Media,Baseline_Min,Baseline_Max,Aumento_Percentual
2025-10-16,09:49:04,09:49:19,15.02,55.17,30.00,129.00,6,2726,"desvio estatístico (média=22.4ms, limite=52.0ms)",16.88,13.00,63.00,226.8%
2025-10-16,10:29:22,10:29:41,19.02,55.20,35.00,92.00,10,1932,"desvio estatístico (média=34.9ms, limite=39.0ms)",35.38,34.00,48.00,56.0%
2025-10-16,11:25:33,11:25:40,6.97,69.20,46.00,97.00,5,542,"desvio estatístico (média=35.1ms, limite=39.7ms)",35.50,34.00,66.00,94.9%
2025-10-16,11:41:33,11:41:41,7.98,83.57,34.00,199.00,7,2458,"desvio estatístico (média=34.9ms, limite=37.3ms)",35.34,34.00,63.00,136.5%
2025-10-16,11:53:28,11:53:35,6.92,91.60,35.00,152.00,5,3880,threshold fixo (100ms),37.34,34.00,101.00,145.3%
2025-10-16,12:28:23,12:28:33,9.96,54.00,34.00,88.00,11,8052,"desvio estatístico (média=34.9ms, limite=37.5ms)",35.86,34.00,86.00,50.6%
2025-10-16,12:48:31,12:48:39,7.46,82.83,61.00,107.00,6,10460,"desvio estatístico (média=35.0ms, limite=38.0ms)",35.36,34.00,62.00,134.3%
2025-10-16,13:08:41,13:08:51,9.47,55.40,34.00,117.00,10,12869,"desvio estatístico (média=34.8ms, limite=36.7ms)",35.74,34.00,79.00,55.0%
2025-10-16,13:18:44,13:18:51,6.95,68.00,55.00,83.00,5,14073,"desvio estatístico (média=35.0ms, limite=37.2ms)",36.04,34.00,83.00,88.7%
2025-10-16,13:46:11,13:46:17,6.92,38.00,15.00,72.00,5,17308,"desvio estatístico (média=22.1ms, limite=48.1ms)",16.50,12.00,64.00,130.3%
2025-10-16,13:48:05,13:48:13,7.46,54.00,13.00,120.00,6,17537,"desvio estatístico (média=16.1ms, limite=29.9ms)",16.56,13.00,87.00,226.1%
2025-10-16,13:50:11,13:50:19,8.00,31.14,14.00,59.00,7,17785,"desvio estatístico (média=14.1ms, limite=21.9ms)",14.66,13.00,40.00,112.4%
2025-10-16,13:51:51,13:51:59,8.28,42.38,13.00,222.00,8,17983,threshold fixo (100ms),18.34,13.00,222.00,131.1%
2025-10-16,14:02:11,14:02:18,7.07,29.40,13.00,62.00,5,19219,"desvio estatístico (média=14.2ms, limite=18.8ms)",14.80,12.00,25.00,98.6%
2025-10-16,14:06:22,14:06:29,6.92,50.00,13.00,126.00,5,19720,threshold fixo (100ms),18.94,13.00,126.00,164.0%
2025-10-16,14:18:52,14:18:59,6.95,104.00,19.00,147.00,5,21196,threshold fixo (100ms),22.40,13.00,116.00,364.3%
2025-10-16,14:23:28,14:23:36,7.43,54.67,13.00,112.00,6,21747,threshold fixo (100ms),16.64,12.00,106.00,228.5%
2025-10-16,14:39:26,14:39:34,7.52,23.67,13.00,49.00,6,23644,"desvio estatístico (média=14.4ms, limite=20.2ms)",14.68,11.00,49.00,61.2%
2025-10-16,14:55:42,14:55:50,7.99,67.86,13.00,291.00,7,25581,"desvio estatístico (média=14.6ms, limite=27.5ms)",14.84,12.00,46.00,357.3%
2025-10-16,15:10:48,15:11:05,17.16,35.40,13.00,144.00,25,27375,threshold fixo (100ms),16.16,11.00,103.00,119.1%
2025-10-16,15:11:08,15:11:16,7.53,55.00,14.00,155.00,5,27415,threshold fixo (100ms),18.86,11.00,155.00,191.6%
2025-10-16,15:15:15,15:15:23,8.00,25.29,14.00,40.00,7,27904,"desvio estatístico (média=14.5ms, limite=24.9ms)",14.98,13.00,47.00,68.8%
2025-10-16,15:15:25,15:15:34,9.00,27.89,13.00,65.00,9,27925,"desvio estatístico (média=14.5ms, limite=24.9ms)",15.34,13.00,47.00,81.8%
2025-10-16,15:27:24,15:27:31,7.48,21.83,13.00,47.00,6,29356,"desvio estatístico (média=13.7ms, limite=17.8ms)",13.78,13.00,21.00,58.4%
2025-10-16,15:37:14,15:37:21,6.75,51.20,13.00,165.00,5,30532,threshold fixo (100ms),18.86,13.00,165.00,171.5%
2025-10-16,15:39:46,15:40:06,19.61,32.83,13.00,98.00,30,30826,"desvio estatístico (média=14.4ms, limite=25.6ms)",15.12,12.00,46.00,117.2%
2025-10-16,15:40:08,15:40:21,12.95,28.88,14.00,127.00,17,30869,"desvio estatístico (média=14.4ms, limite=25.6ms)",16.38,12.00,72.00,76.3%
2025-10-16,15:40:21,15:40:44,23.20,38.76,13.00,148.00,37,30896,"desvio estatístico (média=15.5ms, limite=35.0ms)",16.88,12.00,72.00,129.6%
2025-10-16,15:45:44,15:45:51,7.01,24.80,13.00,56.00,5,31540,"desvio estatístico (média=14.2ms, limite=20.2ms)",14.56,13.00,26.00,70.3%
