Timestamp,Server,Latency (ms),Status,Packet_Loss_%
2025-10-17 08:38:10.770,8.8.8.8,N/A,Failed,0.07
2025-10-17 08:38:13.355,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:16.228,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:18.233,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:20.208,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:22.222,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:24.212,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:26.222,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:28.219,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:30.296,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:12.843,8.8.8.8,N/A,Failed,0.07
2025-10-17 08:38:15.265,8.8.8.8,N/A,Failed,0.07
2025-10-17 08:38:17.225,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:19.209,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:21.209,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:23.212,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:25.216,8.8.8.8,N/A,Failed,0.08
2025-10-17 08:38:27.210,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:29.210,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:31.217,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:32.213,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:34.225,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:36.214,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:38.214,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:40.221,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:42.210,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:44.219,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:46.220,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:48.217,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:48.285,8.8.8.8,42.00,Success,0.11
2025-10-17 08:38:33.221,8.8.8.8,N/A,Failed,0.09
2025-10-17 08:38:35.230,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:37.215,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:39.226,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:41.564,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:43.717,8.8.8.8,N/A,Failed,0.10
2025-10-17 08:38:45.713,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:47.722,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:49.742,8.8.8.8,N/A,Failed,0.11
2025-10-17 08:38:49.934,8.8.8.8,38.00,Success,0.11
2025-10-17 08:38:48.983,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:49.551,8.8.8.8,50.00,Success,0.11
2025-10-17 08:38:49.935,8.8.8.8,43.00,Success,0.11
2025-10-17 08:38:50.595,8.8.8.8,16.00,Success,0.11
2025-10-17 08:38:51.149,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:51.583,8.8.8.8,16.00,Success,0.11
2025-10-17 08:38:51.966,8.8.8.8,13.00,Success,0.11
2025-10-17 08:38:52.649,8.8.8.8,21.00,Success,0.11
2025-10-17 08:38:53.049,8.8.8.8,13.00,Success,0.11
2025-10-17 08:38:53.486,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:50.607,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:51.104,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:51.590,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:51.957,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:52.586,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:53.044,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:53.467,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:53.913,8.8.8.8,16.00,Success,0.11
2025-10-17 08:38:54.385,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:54.944,8.8.8.8,13.00,Success,0.11
2025-10-17 08:38:53.930,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:54.403,8.8.8.8,13.00,Success,0.11
2025-10-17 08:38:54.954,8.8.8.8,12.00,Success,0.11
2025-10-17 08:38:55.465,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:55.844,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:56.418,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:56.849,8.8.8.8,16.00,Success,0.11
2025-10-17 08:38:57.327,8.8.8.8,13.00,Success,0.11
2025-10-17 08:38:57.849,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:58.345,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:55.462,8.8.8.8,16.00,Success,0.11
2025-10-17 08:38:55.842,8.8.8.8,14.00,Success,0.11
2025-10-17 08:38:56.400,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:56.849,8.8.8.8,18.00,Success,0.11
2025-10-17 08:38:57.326,8.8.8.8,13.00,Success,0.11
2025-10-17 08:38:57.850,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:58.345,8.8.8.8,15.00,Success,0.11
2025-10-17 08:38:58.915,8.8.8.8,111.00,Success,0.11
2025-10-17 08:38:59.371,8.8.8.8,58.00,Success,0.11
2025-10-17 08:38:59.882,8.8.8.8,73.00,Success,0.11
2025-10-17 08:38:58.916,8.8.8.8,108.00,Success,0.11
2025-10-17 08:38:59.373,8.8.8.8,50.00,Success,0.11
2025-10-17 08:38:59.897,8.8.8.8,78.00,Success,0.11
2025-10-17 08:39:00.330,8.8.8.8,13.00,Success,0.11
2025-10-17 08:39:00.839,8.8.8.8,14.00,Success,0.11
2025-10-17 08:39:01.373,8.8.8.8,16.00,Success,0.11
2025-10-17 08:39:01.906,8.8.8.8,16.00,Success,0.11
2025-10-17 08:39:02.411,8.8.8.8,16.00,Success,0.11
2025-10-17 08:39:02.921,8.8.8.8,15.00,Success,0.11
2025-10-17 08:39:03.585,8.8.8.8,16.00,Success,0.11
2025-10-17 08:39:00.331,8.8.8.8,14.00,Success,0.11
2025-10-17 08:39:00.830,8.8.8.8,14.00,Success,0.11
2025-10-17 08:39:01.357,8.8.8.8,13.00,Success,0.11
2025-10-17 08:39:01.895,8.8.8.8,16.00,Success,0.11
2025-10-17 08:39:02.448,8.8.8.8,17.00,Success,0.11
2025-10-17 08:39:02.943,8.8.8.8,13.00,Success,0.11
2025-10-17 08:39:03.494,8.8.8.8,14.00,Success,0.11
2025-10-17 08:39:04.381,8.8.8.8,16.00,Success,0.11
2025-10-17 08:39:04.487,8.8.8.8,25.00,Success,0.11
