Data,Hora_Inicio,Hora_Fim,Duracao_Segundos,Latencia_Media_Pico,Latencia_Min_Pico,Latencia_Max_Pico,Pings_Afetados,Numero_Ping_Inicio,Metodo_Deteccao,Baseline_Media,Baseline_Min,Baseline_Max,Aumento_Percentual
2025-10-17,08:42:51,08:43:03,12.49,29.50,14.00,59.00,16,47641,"desvio estatístico (média=14.3ms, limite=20.1ms)",14.94,13.00,59.00,97.5%
2025-10-17,08:48:08,08:48:18,9.53,23.90,13.00,49.00,10,48274,"desvio estatístico (média=14.4ms, limite=21.9ms)",14.22,13.00,29.00,68.1%
2025-10-17,08:59:23,08:59:32,8.99,26.33,14.00,45.00,9,49616,"desvio estatístico (média=15.5ms, limite=25.9ms)",16.32,13.00,38.00,61.4%
2025-10-17,09:06:08,09:06:15,7.31,48.60,14.00,104.00,5,50424,"desvio estatístico (média=14.7ms, limite=21.1ms)",15.64,13.00,55.00,210.7%
2025-10-17,09:21:51,09:22:09,18.57,24.50,13.00,120.00,28,52294,"desvio estatístico (média=14.9ms, limite=23.8ms)",14.64,13.00,26.00,67.3%
2025-10-17,09:37:40,09:37:56,15.09,25.19,13.00,48.00,21,54184,"desvio estatístico (média=14.4ms, limite=21.2ms)",15.86,12.00,40.00,58.8%
2025-10-17,09:37:56,09:38:25,28.51,26.23,13.00,132.00,47,54215,"desvio estatístico (média=15.3ms, limite=28.5ms)",16.48,12.00,44.00,59.2%
2025-10-17,09:38:27,09:38:50,22.95,34.05,14.00,147.00,37,54275,"desvio estatístico (média=15.3ms, limite=28.5ms)",18.06,12.00,94.00,88.6%
2025-10-17,09:38:54,09:39:26,32.89,30.02,13.00,127.00,56,54329,"desvio estatístico (média=16.2ms, limite=39.9ms)",18.84,12.00,94.00,59.3%
2025-10-17,09:40:42,09:40:55,12.81,74.29,13.00,277.00,17,54544,threshold fixo (100ms),20.60,12.00,242.00,260.7%
2025-10-17,09:43:57,09:44:07,9.85,29.91,14.00,100.00,11,54803,threshold fixo (100ms),17.58,12.00,100.00,70.1%
2025-10-17,09:45:36,09:46:06,30.64,34.67,13.00,184.00,52,54999,"desvio estatístico (média=14.9ms, limite=19.1ms)",15.08,12.00,33.00,129.9%
2025-10-17,09:46:12,09:46:20,8.12,24.14,13.00,48.00,7,55071,"desvio estatístico (média=15.2ms, limite=21.5ms)",15.74,12.00,46.00,53.4%
2025-10-17,09:47:08,09:47:18,9.41,34.40,15.00,73.00,10,55183,"desvio estatístico (média=16.3ms, limite=34.9ms)",18.84,14.00,68.00,82.6%
2025-10-17,09:56:46,09:56:53,6.91,53.20,29.00,115.00,5,56192,threshold fixo (100ms),33.32,28.00,115.00,59.7%
